,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fatal Crashes,33654,34560,34748,32538,30056,30202,31006,29867,30296,30862
Drivers,"18,250","18,816","18,717","17,615","16,470","16,520","16,838","16,474","16,864","17,670"
Passengers,"5,915","6,237","6,485","6,213","5,766","5,896","6,106","5,972","6,451","6,793"
Unknown,56,74,74,71,71,67,73,64,56,63
Motorcyclists,"4,985","5,229","5,337","5,029","4,594","4,692","4,986","4,630","4,518","4,469"
Pedestrians,"6,283","6,075","6,080","5,494","4,910","4,779","4,818","4,457","4,302","4,109"
Pedalcyclists,857,806,853,829,729,749,734,682,623,628
Other/ Unknown,214,236,260,233,204,190,227,200,185,151
Total,"36,560","37,473","37,806","35,484","32,744","32,893","33,782","32,479","32,999","33,883"
Vehicle Miles Traveled (Billions),3.21,3.18,3.11,3.04,2.98,2.97,2.96,2.97,2.95,2.96
Resident Population (Thousands),327167,325147,323071,320743,318386,"315,993","313,830","311,556","309,371","307,007"
Registered Vehicles (Millions),279.1,270.4,264,257.9,252.6,255.8,253.6,253.1,250,254.2
Licensed Drivers (Thousands),227500,225346,221712,218084,214092,212160,211815,211875,210115,209618
Seatbelt Use,89.6,89.7,90.1,88.5,86.7,87.2,86.1,83.8,85.1,84.1
Handheld Cellphone Use Rate,3.2,2.9,3.3,3.8,4.3,4.6,5.2,4.8,4.9,5
Visable Headset Cellphone Use Rate,0.4,0.4,0.5,0.6,0.4,0.5,0.6,0.6,0.9,0.6
Visable Manipulation of Handheld Device Rate,2.1,2,2.1,2.2,2.2,1.7,1.5,1.3,0.9,0.6
Restrain Use of Children Under 8 Rate,90.4,92.8,90.9,89.8,90.9,88.6,91.5,91.4,88.9,88
Distracted Driving Affected Crashes,4637,3166,3526,3477,3179,3154,3328,3331,3092,4898
Drunk Driving Fatalities (Per 100 million),10511,10908,10967,10280,9943,10076,10322,9878,10228,10839
